"time","chlorophyll","mei","enso_event","sst","direction","speed"
2014-12-16,5.7113175,0.4,"El Nino",15.165,82.842753655,5.261025807
2015-01-16 12:00:00,16.23373,0.2,"El Nino",13.435,55.9361346575,4.4077542005
2015-02-15,17.182636,0.1,"El Nino",15.555,226.5907773475,5.0813662975
2015-03-16 12:00:00,50.529297,0.2,"El Nino",15.11,281.989526884,5.0405324722
2015-04-16,34.647316,0.3,"El Nino",13.09,309.322720825,5.013326778
2015-05-16 12:00:00,5.8527956,1,"El Nino",NA,299.43280164,5.0194084116
2015-06-16,55.228207,1.9,"El Nino",NA,301.173395425,4.5345429095
2015-07-16 12:00:00,11.097327,1.8,"El Nino",NA,288.0079997,4.32900076875
2015-08-16 12:00:00,16.054504,2,"El Nino",NA,284.8099148,4.3654851756
2015-09-16,22.527706,2.2,"El Nino",NA,297.54895355,4.716123125
2015-10-16 12:00:00,16.098555,2.2,"El Nino",17.43,313.954191375,4.5704484065
2015-11-16,13.167119,1.9,"El Nino",13.415,216.302866786,5.1258593244
2015-12-16 12:00:00,3.3199372,1.9,"El Nino",14.455,174.269129038,5.83868850375
2016-01-16 12:00:00,5.3686914,1.9,"El Nino",13.415,148.3966450884,5.337776138
2016-02-15 12:00:00,12.543957,1.8,"El Nino",NA,162.0382382325,4.71682346525
2016-03-16 12:00:00,59.26228,1.3,"El Nino",14.5199995,281.011440075,6.397516764
2016-04-16,40.867813,1.3,"El Nino",NA,277.420028975,5.62841421325
2016-05-16 12:00:00,14.483245,1.2,"El Nino",NA,290.72050394,4.2430694794
2016-06-16,101.58646,0.4,"El Nino",12.009999,310.501818625,5.86715872575
2016-07-16 12:00:00,216.68439,-0.5,"La Nina",12.52375,304.46384356,4.6154853488
2016-08-16 12:00:00,38.219906,-0.3,"La Nina",13.288333,295.03443215,4.22766921075
2016-09-15 12:00:00,39.8382,-0.3,"La Nina",17.055,291.46705325,4.5013954435
2016-10-16 12:00:00,76.89001,-0.5,"La Nina",16.27875,215.46747001,4.814164972
2016-11-15 12:00:00,24.610094,-0.5,"La Nina",15.575,266.555991375,4.629325371
2016-12-16 12:00:00,22.882936,-0.4,"La Nina",12.552143,97.8351380975,5.4527441335
2017-01-16 12:00:00,11.240598,-0.4,"La Nina",12.945,141.294953495,5.70172290125
2017-02-14 12:00:00,8.610591,-0.4,"La Nina",14.162499,223.4336514275,6.24724797125
2017-03-16 12:00:00,12.044651,-0.6,"La Nina",14.349999,283.38998885,5.66964643075
2017-04-15 12:00:00,27.129873,-0.2,"La Nina",NA,295.26474548,5.8018396582
2017-05-16 12:00:00,61.940056,0.2,"El Nino",12.059999,282.5013069,5.72435288975
2017-06-15 12:00:00,63.678253,-0.2,"La Nina",NA,284.03093255,5.9274991425
2017-07-16 12:00:00,19.401073,-0.6,"La Nina",NA,283.77766474,4.3978558014
2017-08-16 12:00:00,22.865124,-0.7,"La Nina",17.369999,312.607956775,4.46472669925
2017-09-15 12:00:00,138.30977,-0.7,"La Nina",NA,222.79119272625,4.5812109065
2017-10-16 12:00:00,93.394035,-0.6,"La Nina",NA,77.2561411674,4.275013395
2017-11-15 12:00:00,27.177677,-0.6,"La Nina",NA,36.34859731,4.56734195625
2017-12-16 12:00:00,19.092678,-0.7,"La Nina",NA,53.58991098,4.7693379276
2018-01-16 12:00:00,6.180943,-0.8,"La Nina",13.6975,43.542055055,4.308024085
2018-02-14 12:00:00,41.56938,-0.7,"La Nina",NA,79.8668835365,5.90579451825
2018-03-16 12:00:00,37.373016,-0.8,"La Nina",NA,107.29163487325,4.939777445
2018-04-15 12:00:00,23.3394,-1.3,"La Nina",NA,331.50567438,5.1980163042
2018-05-16 12:00:00,19.858091,-0.9,"La Nina",NA,320.392317225,5.55517460325
2018-06-15 12:00:00,71.10808,-0.5,"La Nina",15.195,321.26288615,5.79748211875
2018-07-16 12:00:00,123.52469,0,"La Nina",NA,316.47135814,5.3613255608
2018-08-16 12:00:00,25.297785,0.5,"El Nino",16.904999,315.3402948,4.715621827
2018-09-15 12:00:00,62.87645,0.6,"El Nino",NA,277.90993334,5.1826611836
2018-10-16 12:00:00,37.691887,0.5,"El Nino",NA,326.780394025,6.29545551775
2018-11-15 12:00:00,76.94384,0.3,"El Nino",NA,171.416769555,5.08755702875
2018-12-16 12:00:00,11.031082,0.2,"El Nino",NA,94.064341871,6.5167486454
2019-01-16 12:00:00,5.6092677,0.1,"El Nino",13.974999,232.278695775,6.9219694535
2019-02-14 12:00:00,6.715994,0.5,"El Nino",13.69,247.117332375,7.982713145
2019-03-16 12:00:00,10.577487,0.8,"El Nino",NA,244.71049534,5.9005407292
2019-04-15 12:00:00,19.571907,0.3,"El Nino",14.41,313.813002525,6.61607142875
2019-05-16 12:00:00,45.13277,0.2,"El Nino",NA,295.70282085,6.098465568
2019-06-15 12:00:00,24.702354,0.4,"El Nino",15.53,298.42162988,6.0375211358
2019-07-16 12:00:00,19.41067,0.3,"El Nino",15.514999,314.990065475,5.557973339
2019-08-16 12:00:00,65.27225,0.3,"El Nino",16.355,330.2142609,5.44826839833333
2019-09-15 12:00:00,57.795895,0.2,"El Nino",NA,NA,NA
2019-10-16 12:00:00,54.14604,0.3,"El Nino",NA,NA,NA
2019-11-15 12:00:00,30.725023,0.5,"El Nino",NA,330.62297,5.666847529
2019-12-16 12:00:00,6.467966,0.4,"El Nino",13.359999,239.30456663,6.765206174
2020-01-16 12:00:00,6.9242344,0.3,"El Nino",12.851666,267.2964820875,5.561878358
2020-02-15,13.011835,0.3,"El Nino",13.04,332.82180905,6.45714085875
2020-03-16 12:00:00,12.858097,0.1,"El Nino",13.1866665,275.5076788,5.3806007486
2020-04-15 12:00:00,47.018578,-0.1,"La Nina",14.13625,305.62674325,6.34600776175
2020-05-16 12:00:00,36.806393,-0.2,"La Nina",15.865,302.28035532,6.3542859506
2020-06-15 12:00:00,71.288994,-0.7,"La Nina",NA,296.28973275,5.586284722
2020-07-16 12:00:00,25.660875,-0.9,"La Nina",14.41,279.711865575,5.5415464205
2020-09-15 12:00:00,31.554441,-1.1,"La Nina",NA,322.5496786,5.1382139895
